0
winside INFO 2018-01-24 03:56:43,096 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817590808>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7752705834', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240356430330494658351550', 'productID': 'productIDa3000000000000000216876'}'
winside INFO 2018-01-24 03:56:48,239 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817675960>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7752705834', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240356482029388249785407', 'productID': 'productIDa3000000000000000216877'}'
winside INFO 2018-01-24 03:56:58,354 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817673584>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7752705834', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240356583169763141001915', 'productID': 'productIDa3000000000000000216877'}'
winside INFO 2018-01-24 03:57:06,640 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134821965048>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7752705834', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240357066030247236112725', 'productID': 'productIDa3000000000000000216877'}'
winside INFO 2018-01-24 03:57:09,535 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817656560>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7752705834', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240357095020029731247804', 'productID': 'productIDa3000000000000000216877'}'
winside INFO 2018-01-24 03:57:20,745 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817561416>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7752705834', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240357207082169055656025', 'productID': 'productIDa3000000000000000216877'}'
winside INFO 2018-01-24 03:57:34,418 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817760104>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7752705834', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240357343786133427557564', 'productID': 'productIDa3000000000000000216877'}'
winside INFO 2018-01-24 04:37:49,849 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817532960>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7786869434', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240437497996563437064621', 'productID': 'productIDa3000000000000000216875'}'
winside INFO 2018-01-24 04:38:00,379 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817043664>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7786869434', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240438003448791704378041', 'productID': 'productIDa3000000000000000216875'}'
winside INFO 2018-01-24 05:46:26,147 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817532456>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7750349178', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240546261032316902243961', 'productID': 'productIDa3000000000000000216874'}'
winside INFO 2018-01-24 06:02:18,931 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817515568>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv77510079120', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240602188853237487629823', 'productID': 'productIDa3000000000000000216877'}'
winside INFO 2018-01-24 06:06:41,676 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817179552>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7770079547', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240606416326384242010427', 'productID': 'productIDa3000000000000000216874'}'
winside INFO 2018-01-24 06:07:10,931 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134816775920>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7786869434', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240607108960002554889754', 'productID': 'productIDa3000000000000000216877'}'
winside INFO 2018-01-24 06:07:12,958 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817662952>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7719227215', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240607129253463973767486', 'productID': 'productIDa3000000000000000216874'}'
winside INFO 2018-01-24 06:07:20,627 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817761760>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7786869434', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240607205933085384934737', 'productID': 'productIDa3000000000000000216877'}'
winside INFO 2018-01-24 06:07:40,885 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817308400>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7786869434', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240607408495776614294275', 'productID': 'productIDa3000000000000000216877'}'
winside INFO 2018-01-24 06:07:51,478 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134902512240>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7786869434', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240607514429202256187784', 'productID': 'productIDa3000000000000000216877'}'
winside INFO 2018-01-24 06:08:20,849 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817775560>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7770228006', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240608208140287379439760', 'productID': 'productIDa3000000000000000216874'}'
winside INFO 2018-01-24 06:18:37,635 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817475112>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7748695295', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240618375925297496392943', 'productID': 'productIDa3000000000000000216874'}'
winside INFO 2018-01-24 06:19:42,845 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134822143040>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7770079547', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240619428018301655336306', 'productID': 'productIDa3000000000000000216874'}'
winside INFO 2018-01-24 06:19:45,367 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817310912>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7797263941', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240619453347205392368001', 'productID': 'productIDa3000000000000000216877'}'
winside INFO 2018-01-24 06:26:41,857 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817461888>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7767730300', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240626418143684204498749', 'productID': 'productIDa3000000000000000216875'}'
winside INFO 2018-01-24 06:26:46,763 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817232440>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7767730300', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240626467298209905555527', 'productID': 'productIDa3000000000000000216875'}'
winside INFO 2018-01-24 06:26:50,594 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817736680>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7767730300', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240626505586343457000824', 'productID': 'productIDa3000000000000000216875'}'
winside INFO 2018-01-24 06:28:39,052 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134848609672>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv77810586211', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240628390059438936244089', 'productID': 'productIDa3000000000000000216876'}'
winside INFO 2018-01-24 06:29:53,615 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817426896>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7719227215', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240629535788812048149375', 'productID': 'productIDa3000000000000000216877'}'
winside INFO 2018-01-24 06:30:46,286 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817762120>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7718866331', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240630462517118564637377', 'productID': 'productIDa3000000000000000216877'}'
